,Name,Tweets Ago,Tweet,Compound,Positive,Negative,Neutral,Date
0,BBC,1,"RT @BBCRadio2: It may be cold outside, but @BBCOne's Christmas moment has made us feel all warm inside. 😍

(@jowhiley @OreOduba @tonyblackb…",0.3291,0.105,0.0,0.895,Sat Dec 02 21:59:04 +0000 2017
1,BBC,2,"You might be carrying a pathogen right now. 😱☣

Find out about outbreaks in the latest @TWBBC podcast episode 👉… https://t.co/IOVXZAVNWW",0.0,0.0,0.0,1.0,Sat Dec 02 20:00:05 +0000 2017
2,BBC,3,RT @BBCLookEast: Buddy and his new best bud from @SuffolkPolice are reunited in time for Christmas. ❤️ #HurricaneIrma https://t.co/gZJ73bIL…,0.6369,0.189,0.0,0.811,Sat Dec 02 19:57:21 +0000 2017
3,BBC,4,"RT @BBCSport: FT Arsenal 1-3 Man Utd

Quite simply the game of the season.

Absolutely bonkers.
👉 https://t.co/KcWELiLlbu #ARSMUN https://t…",0.0,0.0,0.0,1.0,Sat Dec 02 19:49:59 +0000 2017
4,BBC,5,RT @bbcstrictly: Breathtaking! There's just enough room to swing a cat in the #Strictly Ballroom tonight... 😻 @thedebbiemcgee @pernicegiova…,0.5093,0.171,0.0,0.829,Sat Dec 02 19:48:25 +0000 2017
5,BBC,6,Andy's doctor told him to spend time outdoors to help tackle his depression. He did something which he says saved h… https://t.co/5tgoeoTn5l,0.2023,0.195,0.131,0.674,Sat Dec 02 19:30:03 +0000 2017
6,BBC,7,"Is body positivity encouraging us to be unhealthy?
Via BBC Minute. https://t.co/UcuWAuy0vc",0.5106,0.351,0.178,0.471,Sat Dec 02 18:30:02 +0000 2017
7,BBC,8,6 Hollywood A-listers reveal the secrets behind their iconic movies. 🎬✨ https://t.co/SGR5TBluI9 https://t.co/N0iBf0EIc2,0.0,0.0,0.0,1.0,Sat Dec 02 18:02:04 +0000 2017
8,BBC,9,A free-riding fox surprised sightseers on a London tour bus this week. 🦊 🇬🇧 https://t.co/eIvAXH6jsD https://t.co/AxwIoHub8F,0.2263,0.137,0.0,0.863,Sat Dec 02 17:30:05 +0000 2017
9,BBC,10,It's cold out there! Why not warm up with one of these hearty hotpots for dinner? 🥘 https://t.co/K6TbxWxZ7O https://t.co/ipPd81IwLi,-0.2401,0.0,0.103,0.897,Sat Dec 02 16:33:03 +0000 2017
10,BBC,11,"Is Japan's tattoo art being driven underground?
Via @BBCWorldService. https://t.co/d2HVFMJWGn",0.0,0.0,0.0,1.0,Sat Dec 02 16:00:03 +0000 2017
11,BBC,12,Have you seen it yet? 😍 Here's everything you need to know about @BBCOne Christmas 2017 | The Supporting Act:… https://t.co/bgG4D9nsDx,0.4404,0.139,0.0,0.861,Sat Dec 02 15:05:11 +0000 2017
12,BBC,13,Has the sexual harassment controversy hit children's books? 📖 https://t.co/zenZmsSWRp https://t.co/1HZvziL90K,-0.5423,0.0,0.28,0.72,Sat Dec 02 15:00:05 +0000 2017
13,BBC,14,RT @bbcstories: Errol’s a mechanic and prostate cancer survivor. Now he’s dedicated to getting as many other men diagnosed as he can. What…,0.0258,0.19,0.152,0.657,Sat Dec 02 14:53:58 +0000 2017
14,BBC,15,"RT @BBCOne: ⚡️ ""I'm not crying, YOU'RE crying!"" Your reactions to BBC One Christmas 2017 | The Supporting Act:

https://t.co/F4Z0wKKKyr htt…",0.6952,0.242,0.0,0.758,Sat Dec 02 14:52:52 +0000 2017
15,BBC,16,"RT @BBCSportWales: Fancy watching #WALvRSA with Sir Gareth Edwards?

He'll be on the @BBCSportWales Facebook page this afternoon, taking yo…",0.0,0.0,0.0,1.0,Sat Dec 02 14:52:22 +0000 2017
16,BBC,17,"RT @bbcweather: The pictures we post usually reflect the day's weather. So far, the best we can do here is that the weather is 'dry, like t…",0.7884,0.218,0.0,0.782,Sat Dec 02 14:51:55 +0000 2017
17,BBC,18,🎄🎁 Rip Off Britain give some tips on how to get the best value out of Christmas. https://t.co/94H9R3Cfkp,0.765,0.292,0.0,0.708,Sat Dec 02 14:30:04 +0000 2017
18,BBC,19,RT @bbcthree: The moving story of the woman without a womb who's fostered 48 children https://t.co/IOZVs96wBU,0.0,0.0,0.0,1.0,Sat Dec 02 13:47:35 +0000 2017
19,BBC,20,"Bands, denim and leather. 🤘 Photographer Dan Giannopoulos's latest project is all about battle jackets.… https://t.co/9uERudOzdD",-0.3818,0.0,0.157,0.843,Sat Dec 02 13:33:03 +0000 2017
20,BBC,21,"RT @BBCRadio2: It may be cold outside, but @BBCOne's Christmas moment has made us feel all warm inside. 😍

(@jowhiley @OreOduba @tonyblackb…",0.3291,0.105,0.0,0.895,Sat Dec 02 21:59:04 +0000 2017
21,BBC,22,"You might be carrying a pathogen right now. 😱☣

Find out about outbreaks in the latest @TWBBC podcast episode 👉… https://t.co/IOVXZAVNWW",0.0,0.0,0.0,1.0,Sat Dec 02 20:00:05 +0000 2017
22,BBC,23,RT @BBCLookEast: Buddy and his new best bud from @SuffolkPolice are reunited in time for Christmas. ❤️ #HurricaneIrma https://t.co/gZJ73bIL…,0.6369,0.189,0.0,0.811,Sat Dec 02 19:57:21 +0000 2017
23,BBC,24,"RT @BBCSport: FT Arsenal 1-3 Man Utd

Quite simply the game of the season.

Absolutely bonkers.
👉 https://t.co/KcWELiLlbu #ARSMUN https://t…",0.0,0.0,0.0,1.0,Sat Dec 02 19:49:59 +0000 2017
24,BBC,25,RT @bbcstrictly: Breathtaking! There's just enough room to swing a cat in the #Strictly Ballroom tonight... 😻 @thedebbiemcgee @pernicegiova…,0.5093,0.171,0.0,0.829,Sat Dec 02 19:48:25 +0000 2017
25,BBC,26,Andy's doctor told him to spend time outdoors to help tackle his depression. He did something which he says saved h… https://t.co/5tgoeoTn5l,0.2023,0.195,0.131,0.674,Sat Dec 02 19:30:03 +0000 2017
26,BBC,27,"Is body positivity encouraging us to be unhealthy?
Via BBC Minute. https://t.co/UcuWAuy0vc",0.5106,0.351,0.178,0.471,Sat Dec 02 18:30:02 +0000 2017
27,BBC,28,6 Hollywood A-listers reveal the secrets behind their iconic movies. 🎬✨ https://t.co/SGR5TBluI9 https://t.co/N0iBf0EIc2,0.0,0.0,0.0,1.0,Sat Dec 02 18:02:04 +0000 2017
