city,date,fare,ride_id
Sarabury,1/16/16 13:49,38.35,5.40369E+12
South Roy,1/2/16 18:42,17.49,4.03627E+12
Wiseborough,1/21/16 17:35,44.18,3.64504E+12
Spencertown,7/31/16 14:53,6.87,2.2426E+12
Nguyenbury,7/9/16 4:42,6.28,1.54306E+12
New Jeffrey,2/22/16 18:36,36.01,9.75789E+12
Port Johnstad,6/7/16 2:39,17.15,4.35228E+12
Jacobfort,9/20/16 20:58,22.98,1.50022E+12
Travisville,1/15/16 17:32,27.39,8.50153E+11
Sandymouth,11/16/16 7:27,21.61,2.38904E+12
New Andreamouth,4/11/16 7:20,7.72,9.99293E+12
New Christine,9/13/16 15:06,24.89,7.91841E+12
Stewartview,3/29/16 5:15,23.88,6.77824E+12
Rodriguezburgh,9/5/16 5:20,4.54,9.65077E+12
West Sydneyhaven,8/2/16 21:18,12.87,7.99476E+12
Swansonbury,7/11/16 18:42,39.3,7.44482E+11
Lisatown,7/5/16 18:09,5.82,6.37036E+12
East Erin,11/3/16 1:03,7.51,4.74424E+12
Port Martinberg,1/6/16 17:11,8.66,7.29856E+12
Wiseborough,9/12/16 18:43,26.83,9.30473E+12
Edwardsbury,2/27/16 3:55,20.17,8.51452E+12
Jacobfort,6/12/16 17:01,34.47,4.13567E+12
Pamelahaven,3/26/16 12:56,36.43,3.01533E+12
Fosterside,8/12/16 11:52,28.08,1.33078E+11
Jacobfort,9/17/16 12:38,38.25,2.18238E+12
West Sydneyhaven,8/23/16 14:49,36.12,5.886E+12
West Alexis,1/16/16 0:33,26.62,1.57479E+12
Carrollfort,6/24/16 20:11,6.45,1.09268E+12
New David,1/12/16 20:48,38.68,5.22909E+12
Stewartview,10/15/16 5:26,11.74,8.40278E+12
Williamshire,6/22/16 7:53,39.81,5.32292E+12
Spencertown,7/12/16 2:52,31.39,7.54749E+11
Torresshire,10/29/16 12:28,23.5,6.1683E+12
New Aaron,8/12/16 17:14,34.63,6.24904E+12
Kelseyland,8/19/16 4:27,5.51,6.24601E+12
Spencertown,6/13/16 3:01,25.91,7.41442E+12
Williamshire,3/22/16 6:49,5.78,4.02646E+12
Lake Sarashire,7/16/16 2:33,34.69,7.53678E+12
Swansonbury,9/17/16 15:52,29.95,5.57585E+12
South Roy,12/3/16 8:39,32.88,7.09892E+12
Pearsonberg,3/27/16 3:46,6.72,9.27702E+11
Wiseborough,10/1/16 9:57,37.84,1.61774E+12
Aprilchester,5/11/16 7:04,20.29,1.08169E+12
South Josephville,6/1/16 5:15,28.33,7.95683E+12
Sarabury,7/23/16 7:42,21.76,7.54668E+12
Port Martinberg,10/14/16 0:03,11.62,8.41692E+12
Davistown,8/31/16 20:43,34.77,2.56096E+12
Lake Jeffreyland,10/22/16 13:25,26.82,3.27709E+12
Port Samantha,1/6/16 20:50,34.72,5.73144E+12
Smithhaven,3/23/16 11:06,9.17,7.82346E+12
West Jefferyfurt,7/8/16 5:37,28.75,7.10013E+11
Jacobfort,6/23/16 10:30,16.24,1.22156E+12
Zimmermanmouth,6/29/16 21:29,17.12,1.2146E+12
Eriktown,7/26/16 10:58,19.81,6.33763E+12
Eriktown,1/3/16 10:46,22.9,5.88254E+12
Kellershire,5/5/16 8:07,26.5,6.98424E+12
West Alexis,8/29/16 18:17,6.16,2.09062E+11
Alyssaberg,5/28/16 9:20,35.61,7.4747E+12
Lake Jennaton,6/5/16 12:00,25.56,9.57641E+12
West Brandy,4/12/16 0:51,34.59,9.59706E+12
Port Samantha,4/4/16 10:57,33.91,7.42863E+12
New Aaron,10/30/16 22:19,8.44,1.13074E+12
Sarabury,4/2/16 4:32,38.03,4.9325E+12
West Oscar,10/5/16 22:23,32.64,7.91698E+12
Edwardsbury,1/28/16 23:28,26.61,6.09785E+12
Arnoldview,3/24/16 5:50,38.73,9.90935E+12
Swansonbury,1/4/16 20:54,17.1,7.44936E+12
Port Johnstad,11/19/16 2:08,34.47,3.2185E+12
South Louis,6/19/16 5:30,35.29,3.19786E+11
Lisaville,1/6/16 3:50,19.6,2.39488E+11
New Maryport,2/10/16 5:36,23.41,3.97475E+11
West Dawnfurt,7/24/16 15:18,30.8,3.83933E+12
Davidtown,10/12/16 17:56,24.65,9.38298E+12
