City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
utica,90,87,43.1,-75.23,42.8,12.75
mataura,0,73,27.5,77.68,71.22,9.08
chala,0,63,-7.58,31.27,64.4,8.05
bambous virieux,75,78,-20.34,57.76,80.6,12.75
norman wells,75,75,65.28,-126.83,-14.81,2.37
airai,92,100,60.62,22.58,33.8,3.36
nelson bay,76,60,-32.72,152.15,73.4,16.11
houston,1,45,29.76,-95.36,61.86,16.11
rikitea,36,100,-23.12,-134.97,73.38,16.69
port elizabeth,0,59,-33.92,25.57,66.2,2.24
salinas,1,71,36.68,-121.66,49.08,6.93
provideniya,36,100,64.38,-173.3,31.17,40.18
hermanus,0,66,-34.42,19.23,62.94,3.6
ushuaia,90,100,-54.8,-68.3,33.8,26.4
east london,0,42,-33.02,27.91,68.0,3.36
novaya maka,0,95,41.77,48.36,55.74,0.36
arzamas,92,94,55.39,43.84,32.34,10.2
bluff,76,93,-46.6,168.33,56.59,13.56
cherskiy,92,83,68.75,161.3,3.13,12.21
hasaki,75,34,35.73,140.83,51.8,5.82
